date,timestamp,open,high,low,close,volume
2024-08-30,2024-08-30 04:00:00+00:00,560.77,564.2,557.14,563.68,62700110.0
2024-09-03,2024-09-03 04:00:00+00:00,560.47,560.81,549.51,552.08,60600113.0
2024-09-04,2024-09-04 04:00:00+00:00,550.2,554.43,549.46,550.95,47224939.0
2024-09-05,2024-09-05 04:00:00+00:00,550.89,553.7995,547.1,549.61,44264258.0
2024-09-06,2024-09-06 04:00:00+00:00,549.94,551.6,539.44,540.36,68493805.0
2024-09-09,2024-09-09 04:00:00+00:00,544.65,547.71,542.68,546.41,40445822.0
2024-09-10,2024-09-10 04:00:00+00:00,548.36,549.15,543.38,548.79,36394579.0
2024-09-11,2024-09-11 04:00:00+00:00,548.7,555.36,539.96,554.42,75248608.0
2024-09-12,2024-09-12 04:00:00+00:00,555.01,559.4,552.74,559.09,51892735.0
2024-09-13,2024-09-13 04:00:00+00:00,559.71,563.03,559.45,562.01,39310501.0
2024-09-16,2024-09-16 04:00:00+00:00,561.74,563.11,559.9,562.84,36656122.0
2024-09-17,2024-09-17 04:00:00+00:00,565.1,566.58,560.795,563.07,49320970.0
2024-09-18,2024-09-18 04:00:00+00:00,563.74,568.69,560.83,561.4,59044937.0
2024-09-19,2024-09-19 04:00:00+00:00,571.01,572.88,568.08,570.98,75315470.0
2024-09-20,2024-09-20 04:00:00+00:00,567.84,569.31,565.17,568.25,77503110.0
2024-09-23,2024-09-23 04:00:00+00:00,569.34,570.3325,568.1,569.67,44116922.0
2024-09-24,2024-09-24 04:00:00+00:00,570.48,571.36,567.6,571.3,46805672.0
2024-09-25,2024-09-25 04:00:00+00:00,571.14,571.89,568.91,570.04,38428587.0
2024-09-26,2024-09-26 04:00:00+00:00,574.38,574.71,569.9,572.3,48336004.0
2024-09-27,2024-09-27 04:00:00+00:00,573.39,574.22,570.42,571.47,42100928.0
2024-09-30,2024-09-30 04:00:00+00:00,570.42,574.38,568.08,573.76,63655448.0
2024-10-01,2024-10-01 04:00:00+00:00,573.4,574.0622,566.0,568.62,72668778.0
2024-10-02,2024-10-02 04:00:00+00:00,567.71,569.9,565.27,568.86,38097798.0
2024-10-03,2024-10-03 04:00:00+00:00,567.36,569.8025,565.49,567.82,40846466.0
2024-10-04,2024-10-04 04:00:00+00:00,572.35,573.36,568.1,572.98,43005186.0
2024-10-07,2024-10-07 04:00:00+00:00,571.3,571.9599,566.63,567.8,49964690.0
2024-10-08,2024-10-08 04:00:00+00:00,570.42,573.78,569.5299,573.17,37398693.0
2024-10-09,2024-10-09 04:00:00+00:00,573.16,577.71,572.55,577.14,37912244.0
2024-10-10,2024-10-10 04:00:00+00:00,575.77,577.58,574.49,576.13,44138060.0
2024-10-11,2024-10-11 04:00:00+00:00,576.05,580.33,575.91,579.58,42267994.0
2024-10-14,2024-10-14 04:00:00+00:00,581.22,585.27,580.73,584.32,36217215.0
2024-10-15,2024-10-15 04:00:00+00:00,584.59,584.9,578.545,579.78,54203636.0
2024-10-16,2024-10-16 04:00:00+00:00,579.78,582.83,578.96,582.3,30725436.0
2024-10-17,2024-10-17 04:00:00+00:00,585.91,586.12,582.16,582.35,34393714.0
2024-10-18,2024-10-18 04:00:00+00:00,584.07,585.39,582.58,584.59,37416801.0
2024-10-21,2024-10-21 04:00:00+00:00,583.85,584.85,580.6001,583.63,36439010.0
2024-10-22,2024-10-22 04:00:00+00:00,581.05,584.5,580.38,583.32,34183835.0
2024-10-23,2024-10-23 04:00:00+00:00,581.26,581.7086,574.415,577.99,49314574.0
2024-10-24,2024-10-24 04:00:00+00:00,579.98,580.06,576.57,579.24,34979860.0
2024-10-25,2024-10-25 04:00:00+00:00,581.51,584.46,578.08,579.04,47268176.0
2024-10-28,2024-10-28 04:00:00+00:00,582.58,582.71,580.52,580.83,30174704.0
2024-10-29,2024-10-29 04:00:00+00:00,579.85,582.907,578.43,581.77,42899661.0
2024-10-30,2024-10-30 04:00:00+00:00,581.29,583.32,579.29,580.01,41435839.0
2024-10-31,2024-10-31 04:00:00+00:00,575.56,575.63,568.44,568.64,60182451.0
2024-11-01,2024-11-01 04:00:00+00:00,571.32,575.55,570.62,571.04,45667533.0
2024-11-04,2024-11-04 05:00:00+00:00,571.18,572.5,567.89,569.81,38216975.0
2024-11-05,2024-11-05 05:00:00+00:00,570.74,576.74,570.52,576.7,39478322.0
2024-11-06,2024-11-06 05:00:00+00:00,589.2,591.93,585.39,591.04,68181968.0
2024-11-07,2024-11-07 05:00:00+00:00,593.08,596.65,592.9999,595.61,47233212.0
2024-11-08,2024-11-08 05:00:00+00:00,596.17,599.64,596.165,598.19,46444893.0
2024-11-11,2024-11-11 05:00:00+00:00,599.81,600.17,597.0,598.76,37586773.0
2024-11-12,2024-11-12 05:00:00+00:00,598.68,599.29,594.37,596.9,43006128.0
2024-11-13,2024-11-13 05:00:00+00:00,597.37,599.23,594.96,597.19,47388640.0
2024-11-14,2024-11-14 05:00:00+00:00,597.32,597.81,592.65,593.35,38904109.0
2024-11-15,2024-11-15 05:00:00+00:00,589.72,590.2,583.86,585.75,75988766.0
2024-11-18,2024-11-18 05:00:00+00:00,586.22,589.49,585.34,588.15,37084081.0
2024-11-19,2024-11-19 05:00:00+00:00,584.71,591.045,584.03,590.3,49422046.0
2024-11-20,2024-11-20 05:00:00+00:00,590.38,590.79,584.63,590.5,49893334.0
2024-11-21,2024-11-21 05:00:00+00:00,593.4,595.12,587.45,593.67,46750285.0
2024-11-22,2024-11-22 05:00:00+00:00,593.66,596.15,593.1525,595.51,38226390.0
2024-11-25,2024-11-25 05:00:00+00:00,599.52,600.86,595.2,597.53,42441393.0
2024-11-26,2024-11-26 05:00:00+00:00,598.8,601.33,598.07,600.65,45621288.0
2024-11-27,2024-11-27 05:00:00+00:00,600.46,600.85,597.28,598.83,34000163.0
2024-11-29,2024-11-29 05:00:00+00:00,599.66,603.35,599.3805,602.55,30177351.0
2024-12-02,2024-12-02 05:00:00+00:00,602.97,604.32,602.47,603.63,31745989.0
2024-12-03,2024-12-03 05:00:00+00:00,603.39,604.16,602.341,603.91,26906629.0
2024-12-04,2024-12-04 05:00:00+00:00,605.63,607.91,604.95,607.66,42787561.0
2024-12-05,2024-12-05 05:00:00+00:00,607.66,608.48,606.305,606.66,28762183.0
2024-12-06,2024-12-06 05:00:00+00:00,607.44,609.07,607.02,607.81,31241549.0
2024-12-09,2024-12-09 05:00:00+00:00,607.69,607.86,604.08,604.68,34742738.0
2024-12-10,2024-12-10 05:00:00+00:00,605.37,605.8,602.13,602.8,37234515.0
2024-12-11,2024-12-11 05:00:00+00:00,605.78,608.435,605.5,607.46,28677723.0
2024-12-12,2024-12-12 05:00:00+00:00,606.58,607.16,604.33,604.33,31543812.0
2024-12-13,2024-12-13 05:00:00+00:00,606.4,607.13,602.81,604.21,35904730.0
2024-12-16,2024-12-16 05:00:00+00:00,606.0,607.7795,605.21,606.79,43695179.0
2024-12-17,2024-12-17 05:00:00+00:00,604.19,605.17,602.885,604.29,55773545.0
